2022-09-01 14:24:39.822165 Epoch 1, Train loss 0.0536, , Val loss 0.0381, Perfect loss 0.0012
2022-09-01 14:27:39.184824 Epoch 2, Train loss 0.0333, , Val loss 0.0261, Perfect loss 0.0012
2022-09-01 14:30:21.337487 Epoch 3, Train loss 0.0231, , Val loss 0.0182, Perfect loss 0.0012
2022-09-01 14:33:10.329010 Epoch 4, Train loss 0.0174, , Val loss 0.014, Perfect loss 0.0012
2022-09-01 14:36:02.348888 Epoch 5, Train loss 0.0141, , Val loss 0.0112, Perfect loss 0.0012
2022-09-01 14:38:55.417192 Epoch 6, Train loss 0.0116, , Val loss 0.0097, Perfect loss 0.0012
2022-09-01 14:41:36.009551 Epoch 7, Train loss 0.0099, , Val loss 0.0095, Perfect loss 0.0012
2022-09-01 14:44:17.023204 Epoch 8, Train loss 0.0092, , Val loss 0.0095, Perfect loss 0.0012
2022-09-01 14:46:59.275162 Epoch 9, Train loss 0.0088, , Val loss 0.0079, Perfect loss 0.0012
2022-09-01 14:49:49.514328 Epoch 10, Train loss 0.0076, , Val loss 0.008, Perfect loss 0.0012
2022-09-01 14:52:35.936295 Epoch 11, Train loss 0.0077, , Val loss 0.0071, Perfect loss 0.0012
2022-09-01 14:55:33.089547 Epoch 12, Train loss 0.0071, , Val loss 0.007, Perfect loss 0.0012
2022-09-01 14:58:20.670918 Epoch 13, Train loss 0.0071, , Val loss 0.0077, Perfect loss 0.0012
2022-09-01 15:01:25.742846 Epoch 14, Train loss 0.0065, , Val loss 0.0057, Perfect loss 0.0012
2022-09-01 15:04:17.800474 Epoch 15, Train loss 0.006, , Val loss 0.006, Perfect loss 0.0012
2022-09-01 15:07:55.816608 Epoch 16, Train loss 0.0061, , Val loss 0.0056, Perfect loss 0.0012
2022-09-01 15:10:39.382962 Epoch 17, Train loss 0.0058, , Val loss 0.0055, Perfect loss 0.0012
2022-09-01 15:13:24.535348 Epoch 18, Train loss 0.0057, , Val loss 0.0066, Perfect loss 0.0012
2022-09-01 15:16:07.037951 Epoch 19, Train loss 0.0061, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 15:18:45.886523 Epoch 20, Train loss 0.0055, , Val loss 0.0056, Perfect loss 0.0012
2022-09-01 15:21:25.618303 Epoch 21, Train loss 0.005, , Val loss 0.0047, Perfect loss 0.0012
2022-09-01 15:24:04.637376 Epoch 22, Train loss 0.0048, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 15:26:43.811109 Epoch 23, Train loss 0.005, , Val loss 0.0054, Perfect loss 0.0013
2022-09-01 15:29:24.515616 Epoch 24, Train loss 0.0049, , Val loss 0.0061, Perfect loss 0.0013
2022-09-01 15:32:12.132148 Epoch 25, Train loss 0.0048, , Val loss 0.0052, Perfect loss 0.0013
2022-09-01 15:34:54.878725 Epoch 26, Train loss 0.0051, , Val loss 0.0049, Perfect loss 0.0013
2022-09-01 15:37:37.406000 Epoch 27, Train loss 0.0049, , Val loss 0.005, Perfect loss 0.0013
2022-09-01 15:40:19.767613 Epoch 28, Train loss 0.0045, , Val loss 0.0047, Perfect loss 0.0013
2022-09-01 15:43:04.766811 Epoch 29, Train loss 0.0046, , Val loss 0.0045, Perfect loss 0.0013
2022-09-01 15:45:50.298779 Epoch 30, Train loss 0.0046, , Val loss 0.0043, Perfect loss 0.0013
2022-09-01 15:48:49.026346 Epoch 31, Train loss 0.0043, , Val loss 0.004, Perfect loss 0.0013
2022-09-01 15:51:44.729541 Epoch 32, Train loss 0.0043, , Val loss 0.0046, Perfect loss 0.0013
