2022-09-04 09:58:32.565496 Epoch 1, Train loss 0.0497, , Val loss 0.0018, Perfect loss 0.0012
2022-09-04 10:00:03.944736 Epoch 2, Train loss 0.0035, , Val loss 0.0013, Perfect loss 0.0012
2022-09-04 10:01:34.860581 Epoch 3, Train loss 0.006, , Val loss 0.0029, Perfect loss 0.0012
2022-09-04 10:03:05.257994 Epoch 4, Train loss 0.0053, , Val loss 0.0021, Perfect loss 0.0012
2022-09-04 10:04:38.379197 Epoch 5, Train loss 0.0023, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 10:06:10.578758 Epoch 6, Train loss 0.0015, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 10:07:43.671840 Epoch 7, Train loss 0.0022, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 10:09:22.673840 Epoch 8, Train loss 0.002, , Val loss 0.0005, Perfect loss 0.0012
2022-09-04 10:11:02.044102 Epoch 9, Train loss 0.0046, , Val loss 0.0003, Perfect loss 0.0012
2022-09-04 10:12:41.254710 Epoch 10, Train loss 0.0025, , Val loss 0.0004, Perfect loss 0.0012
2022-09-04 10:14:19.787499 Epoch 11, Train loss 0.0023, , Val loss 0.0013, Perfect loss 0.0012
2022-09-04 10:15:58.525132 Epoch 12, Train loss 0.0044, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 10:17:37.322207 Epoch 13, Train loss 0.0021, , Val loss 0.0407, Perfect loss 0.0012
2022-09-04 10:19:15.566848 Epoch 14, Train loss 0.0025, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:20:54.034178 Epoch 15, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:22:34.476795 Epoch 16, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:24:15.450960 Epoch 17, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:25:53.238730 Epoch 18, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:27:32.293281 Epoch 19, Train loss 0.0035, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 10:29:11.513554 Epoch 20, Train loss 0.0017, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:30:50.828937 Epoch 21, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:32:30.703477 Epoch 22, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:34:09.575557 Epoch 23, Train loss 0.0025, , Val loss 0.0037, Perfect loss 0.0012
2022-09-04 10:35:48.243378 Epoch 24, Train loss 0.002, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:37:27.008608 Epoch 25, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:39:07.620247 Epoch 26, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:40:49.554579 Epoch 27, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:42:20.961395 Epoch 28, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:43:52.223561 Epoch 29, Train loss 0.0028, , Val loss 0.0053, Perfect loss 0.0012
2022-09-04 10:45:23.651947 Epoch 30, Train loss 0.0016, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:46:55.089840 Epoch 31, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:48:25.835532 Epoch 32, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:49:56.415878 Epoch 33, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:51:27.208853 Epoch 34, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:52:57.584907 Epoch 35, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:54:28.200067 Epoch 36, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:56:06.378628 Epoch 37, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:57:54.463696 Epoch 38, Train loss 0.0019, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 10:59:41.673637 Epoch 39, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:01:23.022457 Epoch 40, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:03:22.660219 Epoch 41, Train loss 0.0024, , Val loss 0.0015, Perfect loss 0.0012
2022-09-04 11:05:21.579452 Epoch 42, Train loss 0.0032, , Val loss 0.0004, Perfect loss 0.0012
2022-09-04 11:07:23.849806 Epoch 43, Train loss 0.0016, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:09:21.461418 Epoch 44, Train loss 0.004, , Val loss 0.0001, Perfect loss 0.0012
2022-09-04 11:11:19.598552 Epoch 45, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:13:26.587836 Epoch 46, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:15:25.518562 Epoch 47, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:17:23.981712 Epoch 48, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:19:41.213520 Epoch 49, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:22:04.656982 Epoch 50, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:24:24.187433 Epoch 51, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:26:32.135736 Epoch 52, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:28:39.151132 Epoch 53, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-04 11:30:46.764429 Epoch 54, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
