2022-09-01 11:10:34.757566 Epoch 1, Train loss 0.0488, , Val loss 0.0277, Perfect loss 0.0012
2022-09-01 11:13:18.592954 Epoch 2, Train loss 0.0227, , Val loss 0.017, Perfect loss 0.0012
2022-09-01 11:16:01.654124 Epoch 3, Train loss 0.0134, , Val loss 0.0128, Perfect loss 0.0012
2022-09-01 11:18:45.549690 Epoch 4, Train loss 0.0106, , Val loss 0.0085, Perfect loss 0.0012
2022-09-01 11:21:31.573307 Epoch 5, Train loss 0.0078, , Val loss 0.0082, Perfect loss 0.0012
2022-09-01 11:24:11.602507 Epoch 6, Train loss 0.0071, , Val loss 0.0085, Perfect loss 0.0012
2022-09-01 11:26:57.955169 Epoch 7, Train loss 0.0069, , Val loss 0.0056, Perfect loss 0.0012
2022-09-01 11:29:40.166993 Epoch 8, Train loss 0.0056, , Val loss 0.0067, Perfect loss 0.0012
2022-09-01 11:32:30.331321 Epoch 9, Train loss 0.0056, , Val loss 0.0056, Perfect loss 0.0012
2022-09-01 11:35:28.386373 Epoch 10, Train loss 0.0054, , Val loss 0.0049, Perfect loss 0.0012
2022-09-01 11:38:18.742101 Epoch 11, Train loss 0.0053, , Val loss 0.0041, Perfect loss 0.0012
2022-09-01 11:41:06.292578 Epoch 12, Train loss 0.005, , Val loss 0.0053, Perfect loss 0.0012
2022-09-01 11:43:53.703800 Epoch 13, Train loss 0.0049, , Val loss 0.0043, Perfect loss 0.0012
2022-09-01 11:46:41.133834 Epoch 14, Train loss 0.0041, , Val loss 0.0037, Perfect loss 0.0012
2022-09-01 11:49:21.033472 Epoch 15, Train loss 0.0046, , Val loss 0.0046, Perfect loss 0.0012
2022-09-01 11:51:59.937481 Epoch 16, Train loss 0.0038, , Val loss 0.0039, Perfect loss 0.0012
2022-09-01 11:54:38.641384 Epoch 17, Train loss 0.0039, , Val loss 0.0042, Perfect loss 0.0012
2022-09-01 11:57:21.295868 Epoch 18, Train loss 0.0042, , Val loss 0.0044, Perfect loss 0.0012
2022-09-01 12:00:04.198393 Epoch 19, Train loss 0.0041, , Val loss 0.0035, Perfect loss 0.0012
2022-09-01 12:02:46.043942 Epoch 20, Train loss 0.0039, , Val loss 0.0032, Perfect loss 0.0012
2022-09-01 12:05:27.134719 Epoch 21, Train loss 0.0036, , Val loss 0.0034, Perfect loss 0.0012
2022-09-01 12:08:07.177587 Epoch 22, Train loss 0.0036, , Val loss 0.0029, Perfect loss 0.0012
2022-09-01 12:10:47.718235 Epoch 23, Train loss 0.0032, , Val loss 0.0032, Perfect loss 0.0012
2022-09-01 12:13:30.888072 Epoch 24, Train loss 0.0034, , Val loss 0.0029, Perfect loss 0.0012
2022-09-01 12:16:31.007799 Epoch 25, Train loss 0.0034, , Val loss 0.0029, Perfect loss 0.0013
2022-09-01 12:19:09.068753 Epoch 26, Train loss 0.0034, , Val loss 0.0033, Perfect loss 0.0013
2022-09-01 12:21:47.717511 Epoch 27, Train loss 0.0036, , Val loss 0.0027, Perfect loss 0.0013
2022-09-01 12:24:30.204355 Epoch 28, Train loss 0.0035, , Val loss 0.0025, Perfect loss 0.0013
2022-09-01 12:27:09.639100 Epoch 29, Train loss 0.0033, , Val loss 0.0029, Perfect loss 0.0013
2022-09-01 12:29:49.476972 Epoch 30, Train loss 0.0039, , Val loss 0.0028, Perfect loss 0.0013



2022-09-01 12:41:19.660576 Epoch 1, Train loss 0.0559, , Val loss 0.037, Perfect loss 0.0012
2022-09-01 12:44:07.021394 Epoch 2, Train loss 0.0265, , Val loss 0.0195, Perfect loss 0.0012
2022-09-01 12:46:56.023778 Epoch 3, Train loss 0.0173, , Val loss 0.0141, Perfect loss 0.0012
2022-09-01 12:49:38.237532 Epoch 4, Train loss 0.0127, , Val loss 0.013, Perfect loss 0.0012
