2022-08-17 21:23:45.534196 Epoch 1, Train loss 0.0861, , Val loss 0.0462, Perfect loss 0.0075
2022-08-17 21:27:54.235562 Epoch 2, Train loss 0.0243, , Val loss 0.0175, Perfect loss 0.0076
2022-08-17 21:31:59.805484 Epoch 3, Train loss 0.0207, , Val loss 0.0178, Perfect loss 0.0076
2022-08-17 21:36:04.570177 Epoch 4, Train loss 0.017, , Val loss 0.0157, Perfect loss 0.0076
2022-08-17 21:40:12.566681 Epoch 5, Train loss 0.0178, , Val loss 0.0152, Perfect loss 0.0076
2022-08-17 21:44:20.227283 Epoch 6, Train loss 0.0175, , Val loss 0.0153, Perfect loss 0.0075
2022-08-17 21:48:26.462486 Epoch 7, Train loss 0.0164, , Val loss 0.0146, Perfect loss 0.0075
2022-08-17 21:52:36.322078 Epoch 8, Train loss 0.0165, , Val loss 0.015, Perfect loss 0.0076
2022-08-17 21:56:53.622989 Epoch 9, Train loss 0.0629, , Val loss 0.0432, Perfect loss 0.0078
2022-08-17 22:01:09.793124 Epoch 10, Train loss 0.0305, , Val loss 0.0264, Perfect loss 0.0078
2022-08-17 22:05:27.168923 Epoch 11, Train loss 0.0231, , Val loss 0.0205, Perfect loss 0.0078
2022-08-17 22:09:43.344108 Epoch 12, Train loss 0.0218, , Val loss 0.0203, Perfect loss 0.0078
2022-08-17 22:14:35.362520 Epoch 13, Train loss 0.0216, , Val loss 0.0202, Perfect loss 0.0078
2022-08-17 22:18:57.248413 Epoch 14, Train loss 0.0214, , Val loss 0.0202, Perfect loss 0.0078
2022-08-17 22:23:19.757611 Epoch 15, Train loss 0.0213, , Val loss 0.0202, Perfect loss 0.0078
2022-08-17 22:27:41.550173 Epoch 16, Train loss 0.0217, , Val loss 0.0204, Perfect loss 0.0078
2022-08-17 22:33:24.064434 Epoch 17, Train loss 0.0479, , Val loss 0.0333, Perfect loss 0.0078
2022-08-17 22:38:46.817281 Epoch 18, Train loss 0.0305, , Val loss 0.0267, Perfect loss 0.0079
2022-08-17 22:44:23.176681 Epoch 19, Train loss 0.0272, , Val loss 0.0293, Perfect loss 0.0079
2022-08-17 22:50:01.588569 Epoch 20, Train loss 0.027, , Val loss 0.0243, Perfect loss 0.0079
2022-08-17 22:55:22.159806 Epoch 21, Train loss 0.0252, , Val loss 0.0239, Perfect loss 0.0079
2022-08-17 23:00:19.001316 Epoch 22, Train loss 0.0257, , Val loss 0.0254, Perfect loss 0.0079
2022-08-17 23:05:15.418813 Epoch 23, Train loss 0.0261, , Val loss 0.0237, Perfect loss 0.0079
2022-08-17 23:10:11.024094 Epoch 24, Train loss 0.0258, , Val loss 0.0233, Perfect loss 0.0079
2022-08-17 23:15:07.895655 Epoch 25, Train loss 0.0482, , Val loss 0.0473, Perfect loss 0.0078
2022-08-17 23:20:04.211651 Epoch 26, Train loss 0.0481, , Val loss 0.0468, Perfect loss 0.0078
2022-08-17 23:25:00.906969 Epoch 27, Train loss 0.0479, , Val loss 0.0467, Perfect loss 0.0078
2022-08-17 23:29:57.891678 Epoch 28, Train loss 0.048, , Val loss 0.0465, Perfect loss 0.0078
2022-08-17 23:34:57.832806 Epoch 29, Train loss 0.0481, , Val loss 0.0468, Perfect loss 0.0078
2022-08-17 23:40:05.381544 Epoch 30, Train loss 0.0481, , Val loss 0.0465, Perfect loss 0.0078
2022-08-17 23:45:13.306568 Epoch 31, Train loss 0.0478, , Val loss 0.0459, Perfect loss 0.0078
2022-08-17 23:50:26.052403 Epoch 32, Train loss 0.0463, , Val loss 0.044, Perfect loss 0.0078
2022-08-17 23:56:04.152991 Epoch 33, Train loss 0.0435, , Val loss 0.0426, Perfect loss 0.0078
2022-08-18 00:01:20.526052 Epoch 34, Train loss 0.0423, , Val loss 0.0418, Perfect loss 0.0078
2022-08-18 00:06:35.164122 Epoch 35, Train loss 0.0418, , Val loss 0.0407, Perfect loss 0.0078
2022-08-18 00:11:49.000474 Epoch 36, Train loss 0.0412, , Val loss 0.0412, Perfect loss 0.0078
2022-08-18 00:17:03.934073 Epoch 37, Train loss 0.041, , Val loss 0.0406, Perfect loss 0.0078
2022-08-18 00:22:16.614943 Epoch 38, Train loss 0.0408, , Val loss 0.0397, Perfect loss 0.0078
2022-08-18 00:27:31.024375 Epoch 39, Train loss 0.0404, , Val loss 0.0394, Perfect loss 0.0078
