2022-08-30 23:17:10.688366 Epoch 1, Train loss 0.0675, , Val loss 0.0451, Perfect loss 0.0012
2022-08-30 23:19:48.746822 Epoch 2, Train loss 0.0318, , Val loss 0.0283, Perfect loss 0.0012
2022-08-30 23:22:26.578441 Epoch 3, Train loss 0.0212, , Val loss 0.0208, Perfect loss 0.0012
2022-08-30 23:25:01.631768 Epoch 4, Train loss 0.0161, , Val loss 0.0189, Perfect loss 0.0012
2022-08-30 23:27:36.595908 Epoch 5, Train loss 0.0143, , Val loss 0.0182, Perfect loss 0.0012
2022-08-30 23:30:11.856060 Epoch 6, Train loss 0.0127, , Val loss 0.0167, Perfect loss 0.0012
2022-08-30 23:32:47.159625 Epoch 7, Train loss 0.0121, , Val loss 0.0163, Perfect loss 0.0012
2022-08-30 23:35:24.186712 Epoch 8, Train loss 0.011, , Val loss 0.0161, Perfect loss 0.0013
2022-08-30 23:37:58.670490 Epoch 9, Train loss 0.0107, , Val loss 0.0135, Perfect loss 0.0013
2022-08-30 23:40:31.440880 Epoch 10, Train loss 0.0089, , Val loss 0.0142, Perfect loss 0.0013
2022-08-30 23:43:15.085590 Epoch 11, Train loss 0.0097, , Val loss 0.0148, Perfect loss 0.0013
2022-08-30 23:45:52.116874 Epoch 12, Train loss 0.0085, , Val loss 0.0158, Perfect loss 0.0013
2022-08-30 23:48:26.700684 Epoch 13, Train loss 0.0084, , Val loss 0.0132, Perfect loss 0.0013
2022-08-30 23:51:00.883804 Epoch 14, Train loss 0.0082, , Val loss 0.0132, Perfect loss 0.0013
2022-08-30 23:53:34.632272 Epoch 15, Train loss 0.008, , Val loss 0.0116, Perfect loss 0.0013
2022-08-30 23:56:08.365333 Epoch 16, Train loss 0.0071, , Val loss 0.0132, Perfect loss 0.0013
2022-08-30 23:58:43.484486 Epoch 17, Train loss 0.0074, , Val loss 0.0123, Perfect loss 0.0013
2022-08-31 00:01:21.406448 Epoch 18, Train loss 0.0069, , Val loss 0.0118, Perfect loss 0.0013
2022-08-31 00:04:00.332425 Epoch 19, Train loss 0.0076, , Val loss 0.0114, Perfect loss 0.0013
2022-08-31 00:06:36.989748 Epoch 20, Train loss 0.0067, , Val loss 0.0115, Perfect loss 0.0013
2022-08-31 00:09:12.782470 Epoch 21, Train loss 0.007, , Val loss 0.0128, Perfect loss 0.0013
2022-08-31 00:11:47.980239 Epoch 22, Train loss 0.0067, , Val loss 0.0115, Perfect loss 0.0013
2022-08-31 00:14:22.705537 Epoch 23, Train loss 0.0067, , Val loss 0.0113, Perfect loss 0.0013
2022-08-31 00:16:59.382986 Epoch 24, Train loss 0.0065, , Val loss 0.0117, Perfect loss 0.0013
2022-08-31 00:19:35.372890 Epoch 25, Train loss 0.006, , Val loss 0.0112, Perfect loss 0.0013
2022-08-31 00:22:11.958879 Epoch 26, Train loss 0.0067, , Val loss 0.0118, Perfect loss 0.0013
2022-08-31 00:24:50.199463 Epoch 27, Train loss 0.006, , Val loss 0.0119, Perfect loss 0.0013
2022-08-31 00:27:26.199494 Epoch 28, Train loss 0.006, , Val loss 0.0109, Perfect loss 0.0013
2022-08-31 00:30:06.423075 Epoch 29, Train loss 0.006, , Val loss 0.0109, Perfect loss 0.0013
2022-08-31 00:32:39.767512 Epoch 30, Train loss 0.0058, , Val loss 0.0119, Perfect loss 0.0013
2022-08-31 00:35:13.206141 Epoch 31, Train loss 0.0055, , Val loss 0.011, Perfect loss 0.0013
2022-08-31 00:37:46.302144 Epoch 32, Train loss 0.0054, , Val loss 0.0111, Perfect loss 0.0013
2022-08-31 00:40:24.557739 Epoch 33, Train loss 0.0053, , Val loss 0.0106, Perfect loss 0.0013
2022-08-31 00:43:09.779891 Epoch 34, Train loss 0.0055, , Val loss 0.0108, Perfect loss 0.0013
2022-08-31 00:45:43.403867 Epoch 35, Train loss 0.0055, , Val loss 0.0111, Perfect loss 0.0013
2022-08-31 00:48:20.541621 Epoch 36, Train loss 0.0053, , Val loss 0.0105, Perfect loss 0.0013
2022-08-31 00:50:56.533970 Epoch 37, Train loss 0.0055, , Val loss 0.0107, Perfect loss 0.0013
2022-08-31 00:53:30.246091 Epoch 38, Train loss 0.0052, , Val loss 0.011, Perfect loss 0.0013
2022-08-31 00:56:05.945249 Epoch 39, Train loss 0.005, , Val loss 0.0103, Perfect loss 0.0013
2022-08-31 00:58:43.390286 Epoch 40, Train loss 0.0059, , Val loss 0.0122, Perfect loss 0.0013
2022-08-31 01:01:24.112242 Epoch 41, Train loss 0.0055, , Val loss 0.0098, Perfect loss 0.0013
2022-08-31 01:04:05.908304 Epoch 42, Train loss 0.0049, , Val loss 0.0114, Perfect loss 0.0013
2022-08-31 01:06:48.903343 Epoch 43, Train loss 0.0054, , Val loss 0.0102, Perfect loss 0.0013
2022-08-31 01:09:36.949641 Epoch 44, Train loss 0.0049, , Val loss 0.0106, Perfect loss 0.0013
2022-08-31 01:12:15.985524 Epoch 45, Train loss 0.0049, , Val loss 0.0103, Perfect loss 0.0013
2022-08-31 01:14:54.497994 Epoch 46, Train loss 0.0046, , Val loss 0.0105, Perfect loss 0.0013
2022-08-31 01:17:35.453384 Epoch 47, Train loss 0.0051, , Val loss 0.0104, Perfect loss 0.0013
2022-08-31 01:20:15.991274 Epoch 48, Train loss 0.005, , Val loss 0.0099, Perfect loss 0.0013
2022-08-31 01:22:58.986826 Epoch 49, Train loss 0.0054, , Val loss 0.0103, Perfect loss 0.0013
2022-08-31 01:25:36.429173 Epoch 50, Train loss 0.0051, , Val loss 0.0098, Perfect loss 0.0013
2022-08-31 01:28:15.134174 Epoch 51, Train loss 0.0048, , Val loss 0.01, Perfect loss 0.0013
2022-08-31 01:30:52.234688 Epoch 52, Train loss 0.005, , Val loss 0.0108, Perfect loss 0.0013
2022-08-31 01:33:33.657524 Epoch 53, Train loss 0.0046, , Val loss 0.0101, Perfect loss 0.0013
2022-08-31 01:36:15.868145 Epoch 54, Train loss 0.0043, , Val loss 0.0104, Perfect loss 0.0013
2022-08-31 01:38:56.322650 Epoch 55, Train loss 0.0048, , Val loss 0.0105, Perfect loss 0.0013
2022-08-31 01:41:37.044939 Epoch 56, Train loss 0.0049, , Val loss 0.0109, Perfect loss 0.0013
2022-08-31 01:44:17.612812 Epoch 57, Train loss 0.005, , Val loss 0.0098, Perfect loss 0.0013
2022-08-31 01:46:58.555704 Epoch 58, Train loss 0.0046, , Val loss 0.011, Perfect loss 0.0013
2022-08-31 01:49:40.797550 Epoch 59, Train loss 0.0045, , Val loss 0.0102, Perfect loss 0.0013
2022-08-31 01:52:21.221174 Epoch 60, Train loss 0.0046, , Val loss 0.0103, Perfect loss 0.0013
