2022-09-02 22:35:52.544134 Epoch 1, Train loss 0.0508, , Val loss 0.0114, Perfect loss 0.0012
2022-09-02 22:37:28.077514 Epoch 2, Train loss 0.0073, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 22:39:04.653359 Epoch 3, Train loss 0.0021, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 22:40:40.463232 Epoch 4, Train loss 0.0043, , Val loss 0.0003, Perfect loss 0.0012
2022-09-02 22:42:15.783324 Epoch 5, Train loss 0.0023, , Val loss 0.0003, Perfect loss 0.0012
2022-09-02 22:43:50.281871 Epoch 6, Train loss 0.0034, , Val loss 0.0007, Perfect loss 0.0012
2022-09-02 22:45:24.987096 Epoch 7, Train loss 0.0026, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:47:00.463087 Epoch 8, Train loss 0.002, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 22:48:35.759257 Epoch 9, Train loss 0.0017, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 22:50:13.061484 Epoch 10, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:51:49.855992 Epoch 11, Train loss 0.0068, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:53:47.128739 Epoch 12, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:55:22.530568 Epoch 13, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:56:58.073922 Epoch 14, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 22:58:33.487289 Epoch 15, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:00:10.157722 Epoch 16, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:01:46.448362 Epoch 17, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:03:22.976099 Epoch 18, Train loss 0.0014, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:04:59.304269 Epoch 19, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:06:35.170297 Epoch 20, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:08:15.369529 Epoch 21, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:10:00.792138 Epoch 22, Train loss 0.004, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 23:11:38.949654 Epoch 23, Train loss 0.0024, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:13:20.526852 Epoch 24, Train loss 0.002, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:14:57.908836 Epoch 25, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:16:39.359256 Epoch 26, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:18:16.280200 Epoch 27, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:19:54.262553 Epoch 28, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:21:30.908571 Epoch 29, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:23:05.358424 Epoch 30, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:24:39.584739 Epoch 31, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:26:13.678443 Epoch 32, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:27:50.166378 Epoch 33, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:29:57.284493 Epoch 34, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:31:37.958410 Epoch 35, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:33:13.810394 Epoch 36, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:34:48.869934 Epoch 37, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:36:24.656604 Epoch 38, Train loss 0.0109, , Val loss 0.0011, Perfect loss 0.0012
2022-09-02 23:38:01.322215 Epoch 39, Train loss 0.0024, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:39:34.789011 Epoch 40, Train loss 0.0025, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:41:08.417688 Epoch 41, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 23:42:41.532968 Epoch 42, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
