2022-08-31 19:22:55.463425 Epoch 1, Train loss 0.0867, , Val loss 0.0596, Perfect loss 0.0012
2022-08-31 19:25:01.029540 Epoch 2, Train loss 0.04, , Val loss 0.029, Perfect loss 0.0012
2022-08-31 19:27:10.924392 Epoch 3, Train loss 0.0198, , Val loss 0.0233, Perfect loss 0.0012
2022-08-31 19:29:20.803395 Epoch 4, Train loss 0.0139, , Val loss 0.0162, Perfect loss 0.0012
2022-08-31 19:31:30.019154 Epoch 5, Train loss 0.0122, , Val loss 0.0157, Perfect loss 0.0012
2022-08-31 19:33:39.488306 Epoch 6, Train loss 0.0109, , Val loss 0.0152, Perfect loss 0.0012
2022-08-31 19:35:46.365088 Epoch 7, Train loss 0.0097, , Val loss 0.0146, Perfect loss 0.0012
2022-08-31 19:37:56.767033 Epoch 8, Train loss 0.0089, , Val loss 0.0132, Perfect loss 0.0013
2022-08-31 19:40:04.090870 Epoch 9, Train loss 0.0088, , Val loss 0.015, Perfect loss 0.0013
2022-08-31 19:42:11.713891 Epoch 10, Train loss 0.008, , Val loss 0.0124, Perfect loss 0.0013
2022-08-31 19:44:19.536653 Epoch 11, Train loss 0.0079, , Val loss 0.0133, Perfect loss 0.0013
2022-08-31 19:46:27.274148 Epoch 12, Train loss 0.0077, , Val loss 0.0127, Perfect loss 0.0013
2022-08-31 19:48:34.825579 Epoch 13, Train loss 0.0072, , Val loss 0.0131, Perfect loss 0.0013
2022-08-31 19:50:43.186625 Epoch 14, Train loss 0.0075, , Val loss 0.0136, Perfect loss 0.0013
2022-08-31 19:52:50.762160 Epoch 15, Train loss 0.0067, , Val loss 0.0115, Perfect loss 0.0013
2022-08-31 19:54:58.885498 Epoch 16, Train loss 0.0068, , Val loss 0.0131, Perfect loss 0.0013
2022-08-31 19:57:06.329729 Epoch 17, Train loss 0.0064, , Val loss 0.0112, Perfect loss 0.0013
2022-08-31 19:59:14.257739 Epoch 18, Train loss 0.006, , Val loss 0.012, Perfect loss 0.0013
2022-08-31 20:01:22.314813 Epoch 19, Train loss 0.0067, , Val loss 0.0114, Perfect loss 0.0013
2022-08-31 20:03:29.799215 Epoch 20, Train loss 0.0062, , Val loss 0.0116, Perfect loss 0.0013
2022-08-31 20:05:37.537896 Epoch 21, Train loss 0.0061, , Val loss 0.012, Perfect loss 0.0013
2022-08-31 20:07:45.275643 Epoch 22, Train loss 0.0058, , Val loss 0.0112, Perfect loss 0.0013
2022-08-31 20:09:52.762831 Epoch 23, Train loss 0.0059, , Val loss 0.0106, Perfect loss 0.0013
2022-08-31 20:12:00.233119 Epoch 24, Train loss 0.0055, , Val loss 0.0104, Perfect loss 0.0013
2022-08-31 20:14:07.809714 Epoch 25, Train loss 0.0058, , Val loss 0.0106, Perfect loss 0.0013
2022-08-31 20:16:15.419468 Epoch 26, Train loss 0.0058, , Val loss 0.0093, Perfect loss 0.0013
2022-08-31 20:18:22.580720 Epoch 27, Train loss 0.0053, , Val loss 0.0104, Perfect loss 0.0013
2022-08-31 20:20:32.921660 Epoch 28, Train loss 0.0055, , Val loss 0.011, Perfect loss 0.0013
2022-08-31 20:22:45.351386 Epoch 29, Train loss 0.0054, , Val loss 0.0101, Perfect loss 0.0013
2022-08-31 20:24:58.249431 Epoch 30, Train loss 0.0053, , Val loss 0.0102, Perfect loss 0.0013
2022-08-31 20:27:08.548960 Epoch 31, Train loss 0.0051, , Val loss 0.0099, Perfect loss 0.0013
2022-08-31 20:29:19.080970 Epoch 32, Train loss 0.0052, , Val loss 0.0103, Perfect loss 0.0013
2022-08-31 20:31:31.346803 Epoch 33, Train loss 0.0052, , Val loss 0.0095, Perfect loss 0.0013
2022-08-31 20:33:40.735827 Epoch 34, Train loss 0.0049, , Val loss 0.01, Perfect loss 0.0013
2022-08-31 20:35:49.381753 Epoch 35, Train loss 0.0049, , Val loss 0.0099, Perfect loss 0.0013
2022-08-31 20:37:57.865891 Epoch 36, Train loss 0.0055, , Val loss 0.01, Perfect loss 0.0013
2022-08-31 20:40:06.907978 Epoch 37, Train loss 0.0049, , Val loss 0.0095, Perfect loss 0.0013
2022-08-31 20:42:15.370249 Epoch 38, Train loss 0.0049, , Val loss 0.0093, Perfect loss 0.0013
2022-08-31 20:44:23.862497 Epoch 39, Train loss 0.0049, , Val loss 0.0102, Perfect loss 0.0013
2022-08-31 20:46:32.629806 Epoch 40, Train loss 0.0049, , Val loss 0.0097, Perfect loss 0.0013
2022-08-31 20:48:41.717717 Epoch 41, Train loss 0.0047, , Val loss 0.0094, Perfect loss 0.0013
2022-08-31 20:50:50.229399 Epoch 42, Train loss 0.0045, , Val loss 0.0093, Perfect loss 0.0013
