2022-08-09 12:11:25.015563 Epoch 1, Train loss 1.0302, Val loss 0.9327, Perfect loss 0.0012
2022-08-09 12:23:03.838537 Epoch 2, Train loss 0.712, Val loss 0.8894, Perfect loss 0.0012
2022-08-09 12:34:39.253746 Epoch 3, Train loss 0.5412, Val loss 0.9493, Perfect loss 0.0012
2022-08-09 12:46:28.563083 Epoch 4, Train loss 0.4667, Val loss 0.6131, Perfect loss 0.0012
2022-08-09 12:58:10.990210 Epoch 5, Train loss 0.3896, Val loss 1.3585, Perfect loss 0.0012
2022-08-09 13:09:52.075913 Epoch 6, Train loss 0.3501, Val loss 0.7306, Perfect loss 0.0012
2022-08-09 13:21:27.479228 Epoch 7, Train loss 0.3407, Val loss 1.2424, Perfect loss 0.0012
2022-08-09 13:33:28.498813 Epoch 8, Train loss 0.3162, Val loss 1.5566, Perfect loss 0.0012
2022-08-09 13:45:03.495323 Epoch 9, Train loss 0.2984, Val loss 1.0301, Perfect loss 0.0012
2022-08-09 13:56:37.345213 Epoch 10, Train loss 0.2614, Val loss 0.7101, Perfect loss 0.0012
2022-08-09 14:08:09.576591 Epoch 11, Train loss 0.2673, Val loss 0.8473, Perfect loss 0.0013
2022-08-09 14:19:48.323315 Epoch 12, Train loss 0.2479, Val loss 0.9153, Perfect loss 0.0013
2022-08-09 14:31:26.423339 Epoch 13, Train loss 0.2228, Val loss 1.3231, Perfect loss 0.0013
2022-08-09 14:43:04.797864 Epoch 14, Train loss 0.2359, Val loss 1.7063, Perfect loss 0.0013
2022-08-09 14:54:49.779036 Epoch 15, Train loss 0.2191, Val loss 1.0084, Perfect loss 0.0013
2022-08-09 15:07:23.374400 Epoch 16, Train loss 0.2044, Val loss 1.2136, Perfect loss 0.0013
2022-08-09 15:19:07.989297 Epoch 17, Train loss 0.201, Val loss 1.1948, Perfect loss 0.0013
2022-08-09 15:30:51.555765 Epoch 18, Train loss 0.2049, Val loss 1.7848, Perfect loss 0.0013
