2022-08-18 20:40:31.081924 Epoch 1, Train loss 0.3496, , Val loss 0.0625, Perfect loss 0.0012
2022-08-18 20:44:48.183531 Epoch 2, Train loss 0.0352, , Val loss 0.0191, Perfect loss 0.0012
2022-08-18 20:49:22.377130 Epoch 3, Train loss 0.0381, , Val loss 0.0175, Perfect loss 0.0012
2022-08-18 20:53:11.815429 Epoch 4, Train loss 0.0124, , Val loss 0.0699, Perfect loss 0.0012
2022-08-18 21:00:06.465758 Epoch 5, Train loss 0.0303, , Val loss 0.0009, Perfect loss 0.0012
2022-08-18 21:05:06.338610 Epoch 6, Train loss 0.0036, , Val loss 0.0002, Perfect loss 0.0012
2022-08-18 21:10:52.280977 Epoch 7, Train loss 0.0432, , Val loss 0.0447, Perfect loss 0.0012
2022-08-18 21:17:25.222393 Epoch 8, Train loss 0.0295, , Val loss 0.0028, Perfect loss 0.0012
2022-08-18 21:23:06.365011 Epoch 9, Train loss 0.0645, , Val loss 0.6032, Perfect loss 0.0012
2022-08-18 21:28:42.600809 Epoch 10, Train loss 0.0254, , Val loss 0.0003, Perfect loss 0.0012
2022-08-18 21:34:07.063772 Epoch 11, Train loss 0.0046, , Val loss 0.0003, Perfect loss 0.0012
2022-08-18 21:39:47.280433 Epoch 12, Train loss 0.0544, , Val loss 0.0009, Perfect loss 0.0012
2022-08-18 21:45:27.882406 Epoch 13, Train loss 0.0218, , Val loss 0.0003, Perfect loss 0.0012
2022-08-18 21:51:06.662916 Epoch 14, Train loss 0.0565, , Val loss 0.0005, Perfect loss 0.0012
2022-08-18 21:57:30.465877 Epoch 15, Train loss 0.0079, , Val loss 0.0163, Perfect loss 0.0012
2022-08-18 22:03:30.548915 Epoch 16, Train loss 0.0099, , Val loss 0.0167, Perfect loss 0.0012
2022-08-18 22:09:21.286693 Epoch 17, Train loss 0.0136, , Val loss 0.0034, Perfect loss 0.0012
2022-08-18 22:15:08.426183 Epoch 18, Train loss 0.0708, , Val loss 0.2885, Perfect loss 0.0012
2022-08-18 22:21:30.805639 Epoch 19, Train loss 0.053, , Val loss 0.0009, Perfect loss 0.0012
2022-08-18 22:27:26.039441 Epoch 20, Train loss 0.0132, , Val loss 0.0005, Perfect loss 0.0012
2022-08-18 22:34:14.044060 Epoch 21, Train loss 0.7, , Val loss 0.2978, Perfect loss 0.0012
2022-08-18 22:40:19.649770 Epoch 22, Train loss 0.2148, , Val loss 0.0425, Perfect loss 0.0012
