2022-08-23 14:38:02.937913 Epoch 1, Train loss 0.6928, , Val loss 0.6858, Perfect loss 0.0012
2022-08-23 14:41:14.986477 Epoch 2, Train loss 0.6056, , Val loss 0.5888, Perfect loss 0.0012
2022-08-23 14:44:15.059609 Epoch 3, Train loss 0.5622, , Val loss 0.5965, Perfect loss 0.0012
2022-08-23 14:47:15.921070 Epoch 4, Train loss 0.5207, , Val loss 0.548, Perfect loss 0.0012
2022-08-23 14:50:21.937887 Epoch 5, Train loss 0.4984, , Val loss 0.5188, Perfect loss 0.0012
2022-08-23 14:53:27.156877 Epoch 6, Train loss 0.4897, , Val loss 0.5219, Perfect loss 0.0012
2022-08-23 14:56:29.605195 Epoch 7, Train loss 0.4705, , Val loss 0.5156, Perfect loss 0.0012
2022-08-23 14:59:30.175955 Epoch 8, Train loss 0.4591, , Val loss 0.5425, Perfect loss 0.0012
2022-08-23 15:02:27.048630 Epoch 9, Train loss 0.4438, , Val loss 0.4624, Perfect loss 0.0012
2022-08-23 15:05:30.862669 Epoch 10, Train loss 0.4135, , Val loss 0.4219, Perfect loss 0.0012
2022-08-23 15:08:31.370133 Epoch 11, Train loss 0.3927, , Val loss 0.4036, Perfect loss 0.0012
2022-08-23 15:11:27.701660 Epoch 12, Train loss 0.3862, , Val loss 0.432, Perfect loss 0.0012
2022-08-23 15:14:24.905701 Epoch 13, Train loss 0.3684, , Val loss 0.4569, Perfect loss 0.0012
2022-08-23 15:17:23.372110 Epoch 14, Train loss 0.3434, , Val loss 0.3592, Perfect loss 0.0012
2022-08-23 15:20:20.681357 Epoch 15, Train loss 0.3482, , Val loss 0.3898, Perfect loss 0.0012
2022-08-23 15:23:18.625681 Epoch 16, Train loss 0.3233, , Val loss 0.3822, Perfect loss 0.0012
2022-08-23 15:26:16.049564 Epoch 17, Train loss 0.3188, , Val loss 0.3626, Perfect loss 0.0012
2022-08-23 15:29:11.356746 Epoch 18, Train loss 0.3108, , Val loss 0.3668, Perfect loss 0.0012
2022-08-23 15:32:07.781937 Epoch 19, Train loss 0.3041, , Val loss 0.3256, Perfect loss 0.0012
2022-08-23 15:35:03.315374 Epoch 20, Train loss 0.2945, , Val loss 0.3372, Perfect loss 0.0012
2022-08-23 15:38:02.862933 Epoch 21, Train loss 0.2847, , Val loss 0.3599, Perfect loss 0.0012
2022-08-23 15:40:59.048077 Epoch 22, Train loss 0.279, , Val loss 0.3384, Perfect loss 0.0012
2022-08-23 15:43:54.783444 Epoch 23, Train loss 0.2768, , Val loss 0.3204, Perfect loss 0.0012
2022-08-23 15:46:51.403826 Epoch 24, Train loss 0.2803, , Val loss 0.332, Perfect loss 0.0012
2022-08-23 15:49:56.796070 Epoch 25, Train loss 0.2776, , Val loss 0.306, Perfect loss 0.0013
2022-08-23 15:52:57.384974 Epoch 26, Train loss 0.2602, , Val loss 0.3333, Perfect loss 0.0013
2022-08-23 15:55:57.692051 Epoch 27, Train loss 0.2581, , Val loss 0.3081, Perfect loss 0.0013
2022-08-23 15:58:57.231158 Epoch 28, Train loss 0.2609, , Val loss 0.3128, Perfect loss 0.0013
2022-08-23 16:01:56.021737 Epoch 29, Train loss 0.2644, , Val loss 0.3207, Perfect loss 0.0013
2022-08-23 16:04:56.559228 Epoch 30, Train loss 0.255, , Val loss 0.2962, Perfect loss 0.0013
2022-08-23 16:08:02.033901 Epoch 31, Train loss 0.2466, , Val loss 0.2905, Perfect loss 0.0013
2022-08-23 16:11:02.741384 Epoch 32, Train loss 0.2607, , Val loss 0.288, Perfect loss 0.0013
2022-08-23 16:14:01.842270 Epoch 33, Train loss 0.2446, , Val loss 0.3003, Perfect loss 0.0013
2022-08-23 16:17:03.523319 Epoch 34, Train loss 0.239, , Val loss 0.2992, Perfect loss 0.0013
2022-08-23 16:20:06.543805 Epoch 35, Train loss 0.2393, , Val loss 0.2926, Perfect loss 0.0013
2022-08-23 16:23:10.173478 Epoch 36, Train loss 0.2354, , Val loss 0.2952, Perfect loss 0.0013
2022-08-23 16:26:09.819781 Epoch 37, Train loss 0.2311, , Val loss 0.2898, Perfect loss 0.0013
2022-08-23 16:29:04.770285 Epoch 38, Train loss 0.2333, , Val loss 0.2705, Perfect loss 0.0013
2022-08-23 16:31:58.760436 Epoch 39, Train loss 0.2326, , Val loss 0.2724, Perfect loss 0.0013
2022-08-23 16:34:58.321494 Epoch 40, Train loss 0.2312, , Val loss 0.2684, Perfect loss 0.0013
2022-08-23 16:38:13.522661 Epoch 41, Train loss 0.2165, , Val loss 0.2932, Perfect loss 0.0013
2022-08-23 16:41:31.392646 Epoch 42, Train loss 0.227, , Val loss 0.2746, Perfect loss 0.0013
2022-08-23 16:44:38.846024 Epoch 43, Train loss 0.2174, , Val loss 0.2786, Perfect loss 0.0013
2022-08-23 16:47:50.513537 Epoch 44, Train loss 0.2169, , Val loss 0.2821, Perfect loss 0.0013
2022-08-23 16:51:26.959722 Epoch 45, Train loss 0.2132, , Val loss 0.2521, Perfect loss 0.0013
2022-08-23 16:54:38.563706 Epoch 46, Train loss 0.228, , Val loss 0.2812, Perfect loss 0.0013
2022-08-23 16:57:49.933898 Epoch 47, Train loss 0.2097, , Val loss 0.2847, Perfect loss 0.0013
2022-08-23 17:01:01.638999 Epoch 48, Train loss 0.2293, , Val loss 0.2676, Perfect loss 0.0013
2022-08-23 17:04:10.685809 Epoch 49, Train loss 0.2016, , Val loss 0.2393, Perfect loss 0.0013
2022-08-23 17:07:18.790414 Epoch 50, Train loss 0.1933, , Val loss 0.2697, Perfect loss 0.0013
2022-08-23 17:10:31.205070 Epoch 51, Train loss 0.2008, , Val loss 0.3358, Perfect loss 0.0013
2022-08-23 17:13:40.719295 Epoch 52, Train loss 0.1965, , Val loss 0.2458, Perfect loss 0.0013
2022-08-23 17:16:47.661598 Epoch 53, Train loss 0.1994, , Val loss 0.2516, Perfect loss 0.0013
2022-08-23 17:19:56.146259 Epoch 54, Train loss 0.2088, , Val loss 0.2654, Perfect loss 0.0013
2022-08-23 17:23:01.970460 Epoch 55, Train loss 0.2141, , Val loss 0.2626, Perfect loss 0.0013
2022-08-23 17:26:06.752872 Epoch 56, Train loss 0.211, , Val loss 0.2748, Perfect loss 0.0013
2022-08-23 17:29:11.779778 Epoch 57, Train loss 0.1943, , Val loss 0.2553, Perfect loss 0.0013
