2022-08-09 02:30:31.083282 Epoch 1, Train loss 0.1473, Val loss 0.1321, Perfect loss 0.0571
2022-08-09 02:44:46.782207 Epoch 2, Train loss 0.1222, Val loss 0.1184, Perfect loss 0.0571
2022-08-09 02:59:00.936006 Epoch 3, Train loss 0.1117, Val loss 0.1054, Perfect loss 0.0571
2022-08-09 03:13:38.916972 Epoch 4, Train loss 0.1021, Val loss 0.0991, Perfect loss 0.0572
2022-08-09 03:27:49.082527 Epoch 5, Train loss 0.0974, Val loss 0.0983, Perfect loss 0.0571
2022-08-09 03:41:58.587237 Epoch 6, Train loss 0.0926, Val loss 0.0935, Perfect loss 0.0571
2022-08-09 03:56:06.901447 Epoch 7, Train loss 0.0912, Val loss 0.0919, Perfect loss 0.0569
2022-08-09 04:10:14.125426 Epoch 8, Train loss 0.0878, Val loss 0.0903, Perfect loss 0.0572
2022-08-09 04:24:24.085853 Epoch 9, Train loss 0.0871, Val loss 0.0879, Perfect loss 0.0572
2022-08-09 04:38:36.553383 Epoch 10, Train loss 0.087, Val loss 0.089, Perfect loss 0.0571
2022-08-09 04:52:45.834237 Epoch 11, Train loss 0.0851, Val loss 0.0864, Perfect loss 0.0572
2022-08-09 05:08:09.074562 Epoch 12, Train loss 0.0848, Val loss 0.0844, Perfect loss 0.0571
2022-08-09 05:22:23.537656 Epoch 13, Train loss 0.0812, Val loss 0.0831, Perfect loss 0.0572
2022-08-09 05:36:38.273697 Epoch 14, Train loss 0.0806, Val loss 0.0824, Perfect loss 0.0572
2022-08-09 05:50:54.052642 Epoch 15, Train loss 0.079, Val loss 0.0818, Perfect loss 0.0572
2022-08-09 06:05:13.604036 Epoch 16, Train loss 0.0791, Val loss 0.0809, Perfect loss 0.0572
2022-08-09 06:19:29.250862 Epoch 17, Train loss 0.0768, Val loss 0.0818, Perfect loss 0.0573
2022-08-09 06:33:43.964971 Epoch 18, Train loss 0.0768, Val loss 0.0785, Perfect loss 0.0572
2022-08-09 06:47:59.364395 Epoch 19, Train loss 0.0762, Val loss 0.0778, Perfect loss 0.0572
2022-08-09 07:02:14.586202 Epoch 20, Train loss 0.0748, Val loss 0.0801, Perfect loss 0.0572
2022-08-09 07:16:30.668344 Epoch 21, Train loss 0.0739, Val loss 0.0783, Perfect loss 0.0572
2022-08-09 07:30:45.885188 Epoch 22, Train loss 0.0753, Val loss 0.0772, Perfect loss 0.0572
2022-08-09 07:44:59.567173 Epoch 23, Train loss 0.0732, Val loss 0.0785, Perfect loss 0.0572
2022-08-09 07:59:14.939061 Epoch 24, Train loss 0.0732, Val loss 0.0775, Perfect loss 0.0571
2022-08-09 08:13:31.020391 Epoch 25, Train loss 0.073, Val loss 0.0785, Perfect loss 0.0572
2022-08-09 08:27:44.489982 Epoch 26, Train loss 0.0727, Val loss 0.0749, Perfect loss 0.0572
2022-08-09 08:42:02.000825 Epoch 27, Train loss 0.0717, Val loss 0.0747, Perfect loss 0.0572
2022-08-09 08:56:16.230601 Epoch 28, Train loss 0.0716, Val loss 0.0755, Perfect loss 0.0573
2022-08-09 09:10:29.751298 Epoch 29, Train loss 0.0726, Val loss 0.0746, Perfect loss 0.0572
2022-08-09 09:24:44.334735 Epoch 30, Train loss 0.0741, Val loss 0.0754, Perfect loss 0.057
2022-08-09 09:38:58.777281 Epoch 31, Train loss 0.0707, Val loss 0.0748, Perfect loss 0.0572
2022-08-09 09:53:13.016809 Epoch 32, Train loss 0.0701, Val loss 0.0735, Perfect loss 0.0572
2022-08-09 10:07:26.375998 Epoch 33, Train loss 0.0694, Val loss 0.0741, Perfect loss 0.0572
2022-08-09 10:21:37.980614 Epoch 34, Train loss 0.0694, Val loss 0.0724, Perfect loss 0.0572
2022-08-09 10:35:50.155073 Epoch 35, Train loss 0.0702, Val loss 0.0751, Perfect loss 0.0572
2022-08-09 10:50:02.393174 Epoch 36, Train loss 0.0694, Val loss 0.0735, Perfect loss 0.0572
