2022-08-05 05:16:30.990511 Epoch 1, Train loss 0.1055, Val loss 0.0919, Perfect loss 0.023
2022-08-05 05:29:52.663177 Epoch 2, Train loss 0.0876, Val loss 0.0827, Perfect loss 0.0229
2022-08-05 05:43:14.054425 Epoch 3, Train loss 0.0836, Val loss 0.0803, Perfect loss 0.0229
2022-08-05 05:56:45.210774 Epoch 4, Train loss 0.0798, Val loss 0.0812, Perfect loss 0.0229
2022-08-05 06:10:03.374728 Epoch 5, Train loss 0.0792, Val loss 0.0807, Perfect loss 0.023
2022-08-05 06:23:21.353923 Epoch 6, Train loss 0.0753, Val loss 0.0815, Perfect loss 0.023
2022-08-05 06:36:35.208040 Epoch 7, Train loss 0.0758, Val loss 0.0785, Perfect loss 0.023
2022-08-05 06:49:53.482575 Epoch 8, Train loss 0.0726, Val loss 0.0759, Perfect loss 0.023
2022-08-05 07:03:07.303702 Epoch 9, Train loss 0.0705, Val loss 0.0749, Perfect loss 0.0229
2022-08-05 07:16:22.237835 Epoch 10, Train loss 0.0715, Val loss 0.0761, Perfect loss 0.023
2022-08-05 07:29:30.965385 Epoch 11, Train loss 0.0692, Val loss 0.0788, Perfect loss 0.0229
2022-08-05 07:42:39.558125 Epoch 12, Train loss 0.0694, Val loss 0.0732, Perfect loss 0.023
2022-08-05 07:55:49.087193 Epoch 13, Train loss 0.068, Val loss 0.0732, Perfect loss 0.023
2022-08-05 08:09:12.327898 Epoch 14, Train loss 0.0669, Val loss 0.0714, Perfect loss 0.023
2022-08-05 08:22:19.691791 Epoch 15, Train loss 0.0668, Val loss 0.0722, Perfect loss 0.023
2022-08-05 08:35:27.773955 Epoch 16, Train loss 0.0656, Val loss 0.0711, Perfect loss 0.023
2022-08-05 08:48:37.933591 Epoch 17, Train loss 0.0662, Val loss 0.0703, Perfect loss 0.023
2022-08-05 09:01:44.768526 Epoch 18, Train loss 0.064, Val loss 0.0703, Perfect loss 0.023
2022-08-05 09:14:53.563024 Epoch 19, Train loss 0.0637, Val loss 0.0723, Perfect loss 0.0229
2022-08-05 09:28:01.312455 Epoch 20, Train loss 0.0637, Val loss 0.0722, Perfect loss 0.023
2022-08-05 09:41:08.479502 Epoch 21, Train loss 0.0639, Val loss 0.072, Perfect loss 0.023
2022-08-05 09:54:14.949120 Epoch 22, Train loss 0.0624, Val loss 0.0699, Perfect loss 0.023
2022-08-05 10:07:23.223685 Epoch 23, Train loss 0.0625, Val loss 0.0705, Perfect loss 0.023
2022-08-05 10:20:30.095437 Epoch 24, Train loss 0.0633, Val loss 0.0693, Perfect loss 0.0231
2022-08-05 10:33:37.254602 Epoch 25, Train loss 0.0625, Val loss 0.0706, Perfect loss 0.0231
2022-08-05 10:46:44.459912 Epoch 26, Train loss 0.0618, Val loss 0.0705, Perfect loss 0.023
2022-08-05 10:59:51.090508 Epoch 27, Train loss 0.0611, Val loss 0.0703, Perfect loss 0.023
2022-08-05 11:12:57.244676 Epoch 28, Train loss 0.0623, Val loss 0.0704, Perfect loss 0.0232
2022-08-05 11:26:04.203169 Epoch 29, Train loss 0.0614, Val loss 0.0681, Perfect loss 0.023
2022-08-05 11:39:10.063888 Epoch 30, Train loss 0.0606, Val loss 0.0689, Perfect loss 0.0231
2022-08-05 11:52:20.638654 Epoch 31, Train loss 0.0598, Val loss 0.0693, Perfect loss 0.0231
2022-08-05 12:05:28.325175 Epoch 32, Train loss 0.0601, Val loss 0.0699, Perfect loss 0.023
2022-08-05 12:35:18.302590 Epoch 1, Train loss 0.1004, Val loss 0.0888, Perfect loss 0.023
2022-08-05 12:48:46.934250 Epoch 2, Train loss 0.0834, Val loss 0.085, Perfect loss 0.0228
2022-08-05 13:02:09.591778 Epoch 3, Train loss 0.08, Val loss 0.0827, Perfect loss 0.0229
