2022-08-08 12:10:54.766863 Epoch 1, Train loss 0.1268, Val loss 0.1158, Perfect loss 0.1138
2022-08-08 12:24:58.617049 Epoch 2, Train loss 0.115, Val loss 0.1142, Perfect loss 0.114
2022-08-08 12:38:51.248989 Epoch 3, Train loss 0.1141, Val loss 0.1148, Perfect loss 0.1139
2022-08-08 12:52:43.043768 Epoch 4, Train loss 0.1142, Val loss 0.1143, Perfect loss 0.1139


----> after changing tau = 0.2 ---------------------------------------------------------->

2022-08-08 13:27:39.940952 Epoch 1, Train loss 0.1826, Val loss 0.1786, Perfect loss 0.0642
2022-08-08 13:41:27.665559 Epoch 2, Train loss 0.1669, Val loss 0.1539, Perfect loss 0.0641
2022-08-08 13:55:32.053213 Epoch 3, Train loss 0.152, Val loss 0.1497, Perfect loss 0.0641
2022-08-08 14:09:37.076659 Epoch 4, Train loss 0.1446, Val loss 0.1436, Perfect loss 0.0641
2022-08-08 14:37:15.208201 Epoch 5, Train loss 0.1207, Val loss 0.0865, Perfect loss 0.0572
2022-08-08 14:52:08.069169 Epoch 6, Train loss 0.0854, Val loss 0.0759, Perfect loss 0.0571
2022-08-08 15:05:57.214259 Epoch 7, Train loss 0.0738, Val loss 0.076, Perfect loss 0.057
2022-08-08 15:19:49.431797 Epoch 8, Train loss 0.0731, Val loss 0.0783, Perfect loss 0.0571
2022-08-08 15:34:17.808517 Epoch 9, Train loss 0.0726, Val loss 0.0743, Perfect loss 0.0571
2022-08-08 15:49:08.010479 Epoch 10, Train loss 0.0713, Val loss 0.0724, Perfect loss 0.057
2022-08-08 16:03:23.172153 Epoch 11, Train loss 0.0713, Val loss 0.0748, Perfect loss 0.057
2022-08-08 16:17:48.090248 Epoch 12, Train loss 0.0725, Val loss 0.0741, Perfect loss 0.0571
2022-08-08 16:33:36.265153 Epoch 13, Train loss 0.072, Val loss 0.073, Perfect loss 0.0571
2022-08-08 16:48:23.467443 Epoch 14, Train loss 0.0722, Val loss 0.0723, Perfect loss 0.0571
2022-08-08 17:02:41.937501 Epoch 15, Train loss 0.0702, Val loss 0.0719, Perfect loss 0.057
2022-08-08 17:17:31.885975 Epoch 16, Train loss 0.0714, Val loss 0.0731, Perfect loss 0.0572
2022-08-08 17:32:04.463521 Epoch 17, Train loss 0.0713, Val loss 0.0714, Perfect loss 0.0572
2022-08-08 17:46:01.222105 Epoch 18, Train loss 0.0706, Val loss 0.0714, Perfect loss 0.0571
2022-08-08 17:59:59.294931 Epoch 19, Train loss 0.0709, Val loss 0.0719, Perfect loss 0.0571
2022-08-08 18:13:54.003010 Epoch 20, Train loss 0.0708, Val loss 0.0716, Perfect loss 0.0571
2022-08-08 18:27:51.224384 Epoch 21, Train loss 0.0714, Val loss 0.0729, Perfect loss 0.0571
2022-08-08 18:41:49.207902 Epoch 22, Train loss 0.0715, Val loss 0.072, Perfect loss 0.0571
2022-08-08 18:57:14.989162 Epoch 23, Train loss 0.071, Val loss 0.0727, Perfect loss 0.057
2022-08-08 19:11:49.035728 Epoch 24, Train loss 0.0704, Val loss 0.0717, Perfect loss 0.0571
2022-08-08 19:25:51.783485 Epoch 25, Train loss 0.071, Val loss 0.0729, Perfect loss 0.057
2022-08-08 19:40:36.655468 Epoch 26, Train loss 0.0708, Val loss 0.0729, Perfect loss 0.0571
