2022-07-29 01:34:30.910428 Epoch 1, Train loss 1.1361, Val loss 1.0061
2022-07-29 01:56:23.229690 Epoch 2, Train loss 0.954, Val loss 0.9098
2022-07-29 02:18:38.321137 Epoch 3, Train loss 0.9009, Val loss 0.8744
2022-07-29 02:41:07.083529 Epoch 4, Train loss 0.8508, Val loss 0.8046
2022-07-29 03:03:29.034724 Epoch 5, Train loss 0.7843, Val loss 0.7448
2022-07-29 03:25:13.294957 Epoch 6, Train loss 0.7219, Val loss 0.6897
2022-07-29 03:47:11.857975 Epoch 7, Train loss 0.6769, Val loss 0.6438
2022-07-29 04:09:00.170669 Epoch 8, Train loss 0.6365, Val loss 0.6057
2022-07-29 04:31:49.398697 Epoch 9, Train loss 0.6023, Val loss 0.5793
2022-07-29 04:56:53.650210 Epoch 9, Train loss 0.607, Val loss 0.5768
2022-07-29 05:18:18.488455 Epoch 10, Train loss 0.5701, Val loss 0.5501
2022-07-29 05:39:45.118447 Epoch 11, Train loss 0.5487, Val loss 0.525
2022-07-29 06:01:15.668975 Epoch 12, Train loss 0.5136, Val loss 0.4888
2022-07-29 06:22:43.822448 Epoch 13, Train loss 0.4863, Val loss 0.47
2022-07-29 06:44:09.760257 Epoch 14, Train loss 0.4628, Val loss 0.4491
2022-07-29 07:05:39.078833 Epoch 15, Train loss 0.4415, Val loss 0.4217
2022-07-29 07:27:08.136560 Epoch 16, Train loss 0.417, Val loss 0.4139
2022-07-29 12:29:44.173760 Epoch 9, Train loss 0.5609, Val loss 0.5077
2022-07-29 12:53:06.577828 Epoch 10, Train loss 0.48, Val loss 0.4467
2022-07-29 13:17:14.164854 Epoch 11, Train loss 0.4235, Val loss 0.4259
2022-07-29 13:41:26.080402 Epoch 12, Train loss 0.3681, Val loss 0.3708
2022-07-29 14:05:16.682151 Epoch 13, Train loss 0.3276, Val loss 0.3653
2022-07-29 14:29:13.725354 Epoch 14, Train loss 0.283, Val loss 0.3362
2022-07-29 14:53:25.220993 Epoch 15, Train loss 0.2503, Val loss 0.3139
2022-07-29 15:17:53.091287 Epoch 16, Train loss 0.2148, Val loss 0.3155
