2022-08-01 06:30:13.193632 Epoch 1, Train loss 1.6824, Val loss 1.5552
2022-08-01 06:38:21.978699 Epoch 2, Train loss 1.2872, Val loss 1.1643
2022-08-01 06:46:37.644813 Epoch 3, Train loss 1.1615, Val loss 1.1427
2022-08-01 06:55:00.733737 Epoch 4, Train loss 1.1598, Val loss 1.1291
2022-08-01 07:03:15.397440 Epoch 5, Train loss 1.1559, Val loss 1.1345
2022-08-01 07:16:00.839847 Epoch 1, Train loss 2.1581, Val loss 2.129
2022-08-01 07:23:44.338587 Epoch 2, Train loss 2.0971, Val loss 2.0593
2022-08-01 07:31:24.398782 Epoch 3, Train loss 2.031, Val loss 2.0234
2022-08-01 07:39:05.447622 Epoch 4, Train loss 1.9881, Val loss 1.97
2022-08-01 07:46:47.582005 Epoch 5, Train loss 1.93, Val loss 1.956
2022-08-01 07:54:28.268924 Epoch 6, Train loss 1.8916, Val loss 1.8732
2022-08-01 08:02:27.696221 Epoch 7, Train loss 1.8693, Val loss 1.8191
2022-08-01 08:10:08.632502 Epoch 8, Train loss 1.8381, Val loss 1.8115
2022-08-01 08:17:48.782424 Epoch 9, Train loss 1.7945, Val loss 1.7849
2022-08-01 08:25:30.543128 Epoch 10, Train loss 1.777, Val loss 1.7957
2022-08-01 08:33:11.572606 Epoch 11, Train loss 1.7479, Val loss 1.7217
2022-08-01 08:40:52.771202 Epoch 12, Train loss 1.7511, Val loss 1.7374
2022-08-01 08:48:35.470787 Epoch 13, Train loss 1.7268, Val loss 1.7317
2022-08-01 08:56:19.259756 Epoch 14, Train loss 1.7111, Val loss 1.6868
2022-08-01 09:04:00.721129 Epoch 15, Train loss 1.6812, Val loss 1.6563
2022-08-01 09:11:42.724627 Epoch 16, Train loss 1.6449, Val loss 1.6285
2022-08-01 11:46:42.194315 Epoch 17, Train loss 1.2182, Val loss 1.161
2022-08-01 11:55:05.318445 Epoch 18, Train loss 1.1293, Val loss 1.1005
2022-08-01 12:03:20.048308 Epoch 19, Train loss 1.1572, Val loss 1.1409
2022-08-01 12:11:45.296887 Epoch 20, Train loss 1.125, Val loss 1.0812
2022-08-01 12:20:04.455064 Epoch 21, Train loss 1.0816, Val loss 1.063
2022-08-01 12:28:00.772966 Epoch 22, Train loss 1.0678, Val loss 1.0418
2022-08-01 12:36:01.831639 Epoch 23, Train loss 1.0501, Val loss 1.0422
2022-08-01 12:44:00.094525 Epoch 24, Train loss 1.0303, Val loss 0.9893
2022-08-01 12:52:11.210434 Epoch 25, Train loss 1.0029, Val loss 0.9908
2022-08-01 13:00:44.713111 Epoch 26, Train loss 0.9768, Val loss 0.9746
2022-08-01 13:09:28.939168 Epoch 27, Train loss 0.9276, Val loss 0.9232
2022-08-01 13:18:14.408560 Epoch 28, Train loss 0.9008, Val loss 0.8978
2022-08-01 13:27:09.271358 Epoch 29, Train loss 0.8599, Val loss 0.8522
2022-08-01 13:36:06.052583 Epoch 30, Train loss 0.8201, Val loss 0.8286
2022-08-01 13:44:29.717844 Epoch 31, Train loss 0.7953, Val loss 0.7512
2022-08-01 13:52:42.749804 Epoch 32, Train loss 0.7473, Val loss 0.7514
2022-08-01 14:00:55.309468 Epoch 33, Train loss 0.7117, Val loss 0.7363
2022-08-01 14:09:05.852184 Epoch 34, Train loss 0.6809, Val loss 0.6741
2022-08-01 14:17:29.656514 Epoch 35, Train loss 0.6597, Val loss 0.7711
2022-08-01 14:25:41.526696 Epoch 36, Train loss 0.643, Val loss 0.6024
2022-08-01 14:33:54.817484 Epoch 37, Train loss 0.6167, Val loss 0.6388
2022-08-01 14:42:45.609382 Epoch 38, Train loss 0.5835, Val loss 0.6267
2022-08-01 14:51:34.514135 Epoch 39, Train loss 0.589, Val loss 0.5659
2022-08-01 15:00:26.739978 Epoch 40, Train loss 0.5356, Val loss 0.5981
2022-08-01 15:20:25.243859 Epoch 41, Train loss 0.5277, Val loss 0.5348
2022-08-01 15:33:55.482232 Epoch 41, Train loss 0.5293, Val loss 0.5161
2022-08-01 15:42:25.643101 Epoch 42, Train loss 0.5109, Val loss 0.5419
2022-08-01 15:50:57.589126 Epoch 43, Train loss 0.5147, Val loss 0.5249
2022-08-01 15:59:48.245965 Epoch 44, Train loss 0.4977, Val loss 0.5074
2022-08-01 16:08:47.027148 Epoch 45, Train loss 0.4757, Val loss 0.5181
2022-08-01 16:17:28.208277 Epoch 46, Train loss 0.4581, Val loss 0.504
2022-08-01 16:26:15.328226 Epoch 47, Train loss 0.4526, Val loss 0.5065
2022-08-01 16:34:38.392276 Epoch 48, Train loss 0.4367, Val loss 0.4641
2022-08-01 16:43:13.110884 Epoch 49, Train loss 0.4335, Val loss 0.4672
2022-08-01 16:51:48.446722 Epoch 50, Train loss 0.4301, Val loss 0.4705
2022-08-01 17:00:29.863002 Epoch 51, Train loss 0.4258, Val loss 0.4748
2022-08-01 17:09:02.340455 Epoch 52, Train loss 0.4144, Val loss 0.4349
2022-08-01 17:17:37.835934 Epoch 53, Train loss 0.4151, Val loss 0.4441
2022-08-01 17:25:49.781158 Epoch 54, Train loss 0.3857, Val loss 0.4386
2022-08-01 17:34:04.604106 Epoch 55, Train loss 0.4047, Val loss 0.4552
2022-08-01 17:42:22.694434 Epoch 56, Train loss 0.4001, Val loss 0.4808
2022-08-01 17:50:51.518403 Epoch 57, Train loss 0.4013, Val loss 0.4925
2022-08-01 17:59:15.615467 Epoch 58, Train loss 0.3919, Val loss 0.4254
2022-08-01 18:07:50.351417 Epoch 59, Train loss 0.3769, Val loss 0.4464
2022-08-01 18:16:33.412609 Epoch 60, Train loss 0.3754, Val loss 0.4725
