2022-07-22 03:35:34.366993 Epoch 1, Train loss 0.6794, Train acc 56.27%, Val loss 0.6176, Val acc 67.21%
2022-07-22 03:47:55.696352 Epoch 2, Train loss 0.536, Train acc 72.96%, Val loss 0.4704, Val acc 77.21%
2022-07-22 04:00:30.755631 Epoch 3, Train loss 0.4338, Train acc 80.18%, Val loss 0.4067, Val acc 82.07%
2022-07-22 04:12:28.841791 Epoch 4, Train loss 0.3904, Train acc 82.49%, Val loss 0.3899, Val acc 82.97%
2022-07-22 04:24:24.910275 Epoch 5, Train loss 0.3608, Train acc 84.45%, Val loss 0.3518, Val acc 86.37%
2022-07-22 04:36:22.038910 Epoch 6, Train loss 0.3383, Train acc 86.27%, Val loss 0.3488, Val acc 86.3%
2022-07-22 04:48:39.632638 Epoch 7, Train loss 0.3094, Train acc 87.75%, Val loss 0.3071, Val acc 88.27%
2022-07-22 05:00:59.348529 Epoch 8, Train loss 0.2934, Train acc 88.34%, Val loss 0.3008, Val acc 89.03%
2022-07-22 05:13:26.415659 Epoch 9, Train loss 0.2626, Train acc 90.1%, Val loss 0.2485, Val acc 90.88%
2022-07-22 05:25:14.758787 Epoch 10, Train loss 0.2584, Train acc 90.46%, Val loss 0.2717, Val acc 90.3%
2022-07-22 05:37:01.644707 Epoch 11, Train loss 0.2441, Train acc 91.06%, Val loss 0.246, Val acc 91.3%
2022-07-22 05:48:49.401446 Epoch 12, Train loss 0.2433, Train acc 91.07%, Val loss 0.2498, Val acc 91.2%
2022-07-22 06:00:37.440136 Epoch 13, Train loss 0.2244, Train acc 92.15%, Val loss 0.2793, Val acc 91.22%
2022-07-22 06:12:26.441711 Epoch 14, Train loss 0.2164, Train acc 92.13%, Val loss 0.2361, Val acc 92.27%
2022-07-22 06:24:13.303879 Epoch 15, Train loss 0.2149, Train acc 92.29%, Val loss 0.232, Val acc 92.23%
2022-07-22 06:35:59.918929 Epoch 16, Train loss 0.2128, Train acc 92.51%, Val loss 0.2285, Val acc 92.29%
2022-07-23 01:55:05.476211 Epoch 1, Train loss 0.6751, Train acc 61.09%, Val loss 0.6476, Val acc 69.23%
2022-07-23 02:10:08.182972 Epoch 2, Train loss 0.6288, Train acc 72.67%, Val loss 0.6151, Val acc 73.18%
2022-07-23 02:24:59.227996 Epoch 3, Train loss 0.6074, Train acc 74.49%, Val loss 0.6272, Val acc 75.53%
2022-07-23 02:39:59.062028 Epoch 4, Train loss 0.59, Train acc 76.3%, Val loss 0.5987, Val acc 75.14%
2022-07-23 02:54:59.979533 Epoch 5, Train loss 0.5812, Train acc 76.39%, Val loss 0.5808, Val acc 76.4%
2022-07-23 03:09:31.345543 Epoch 6, Train loss 0.5635, Train acc 77.9%, Val loss 0.564, Val acc 77.86%
2022-07-23 03:24:01.009749 Epoch 7, Train loss 0.5518, Train acc 78.32%, Val loss 0.5644, Val acc 78.1%
2022-07-23 03:38:31.233489 Epoch 8, Train loss 0.5431, Train acc 78.34%, Val loss 0.545, Val acc 78.2%
2022-07-23 03:53:01.707118 Epoch 9, Train loss 0.5259, Train acc 79.42%, Val loss 0.5297, Val acc 79.19%
2022-07-23 04:07:30.397910 Epoch 10, Train loss 0.5076, Train acc 80.5%, Val loss 0.5346, Val acc 79.65%
2022-07-23 04:22:00.110357 Epoch 11, Train loss 0.492, Train acc 80.57%, Val loss 0.5146, Val acc 79.51%
2022-07-23 04:36:29.492471 Epoch 12, Train loss 0.4819, Train acc 80.38%, Val loss 0.4805, Val acc 80.97%
2022-07-23 04:51:00.011017 Epoch 13, Train loss 0.4573, Train acc 81.13%, Val loss 0.4799, Val acc 80.33%
2022-07-23 05:05:30.374473 Epoch 14, Train loss 0.4518, Train acc 80.5%, Val loss 0.4438, Val acc 80.29%
2022-07-23 05:20:00.494397 Epoch 15, Train loss 0.423, Train acc 81.21%, Val loss 0.4639, Val acc 80.21%
2022-07-23 05:34:30.095910 Epoch 16, Train loss 0.4148, Train acc 81.43%, Val loss 0.4172, Val acc 81.22%
