2022-07-27 13:02:59.385160 Epoch 1, Train loss 0.4777, Val loss 1.2226
2022-07-27 13:16:03.334204 Epoch 2, Train loss 0.2603, Val loss 1.1411
2022-07-27 13:29:31.196903 Epoch 3, Train loss 0.1837, Val loss 1.0993
2022-07-27 13:42:46.537146 Epoch 4, Train loss 0.1522, Val loss 1.0799
2022-07-27 13:55:36.695791 Epoch 5, Train loss 0.1293, Val loss 1.0733
2022-07-27 14:20:25.805607 Epoch 5, Train loss 0.1334, Val loss 1.0786
2022-07-27 14:33:20.296062 Epoch 6, Train loss 0.1195, Val loss 1.0622
2022-07-27 14:49:53.343928 Epoch 5, Train loss 0.0197, Val loss 0.0084
2022-07-27 15:03:01.295972 Epoch 6, Train loss 0.0188, Val loss 0.0073
2022-07-27 15:15:59.957114 Epoch 7, Train loss 0.0181, Val loss 0.0094
2022-07-27 15:29:22.422652 Epoch 8, Train loss 0.0176, Val loss 0.0072
2022-07-27 15:42:12.764990 Epoch 9, Train loss 0.0172, Val loss 0.0065
2022-07-27 15:58:46.203408 Epoch 1, Train loss 0.0416, Val loss 0.0192
2022-07-27 16:11:52.729099 Epoch 2, Train loss 0.0277, Val loss 0.0139
2022-07-27 16:24:59.386436 Epoch 3, Train loss 0.0239, Val loss 0.0135
2022-07-27 16:38:16.146520 Epoch 4, Train loss 0.023, Val loss 0.0103
2022-07-27 16:51:16.009741 Epoch 5, Train loss 0.021, Val loss 0.0108
2022-07-27 17:04:23.198340 Epoch 6, Train loss 0.0199, Val loss 0.0098
2022-07-27 17:17:37.121668 Epoch 7, Train loss 0.0194, Val loss 0.0083
2022-07-27 17:31:04.224688 Epoch 8, Train loss 0.0188, Val loss 0.008
2022-07-27 17:44:18.966005 Epoch 9, Train loss 0.0182, Val loss 0.0072
2022-07-27 17:57:37.101639 Epoch 10, Train loss 0.0179, Val loss 0.0079
2022-07-27 18:10:39.187602 Epoch 11, Train loss 0.0173, Val loss 0.0073
2022-07-27 18:23:41.320124 Epoch 12, Train loss 0.0176, Val loss 0.0064
2022-07-27 18:36:31.849184 Epoch 13, Train loss 0.0172, Val loss 0.0066
2022-07-27 18:49:23.423155 Epoch 14, Train loss 0.0168, Val loss 0.0062
2022-07-27 19:02:25.639095 Epoch 15, Train loss 0.0166, Val loss 0.0076
2022-07-27 19:15:33.688739 Epoch 16, Train loss 0.0162, Val loss 0.0058
